agent-1  | 2026-09-12T01:04:34.748827Z [info     ] publisher.event_acked          event_id=2e40c108-f375-4214-9bcf-dc08b9f7a1d5
agent-1  | 2026-09-12T01:04:34.852142Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=7ab5f9db-59af-4c3e-9717-ce15820d7d25 path=/watch/latency-ext-066.txt
agent-1  | 2026-09-12T01:04:34.858819Z [info     ] publisher.event_published      event_id=7ab5f9db-59af-4c3e-9717-ce15820d7d25
agent-1  | 2026-09-12T01:04:34.861178Z [info     ] detector.change_detected       event_id=7ab5f9db-59af-4c3e-9717-ce15820d7d25 event_type=file_modified path=/watch/latency-ext-066.txt
agent-1  | 2026-09-12T01:04:34.870270Z [info     ] publisher.event_acked          event_id=7ab5f9db-59af-4c3e-9717-ce15820d7d25
agent-1  | 2026-09-12T01:04:34.951105Z [warning  ] detector.out_of_scope_drop     path=/runc-process2978505729 total_drops=57
agent-1  | 2026-09-12T01:04:34.951648Z [warning  ] detector.out_of_scope_drop     path=/runc-process2978505729 total_drops=58
agent-1  | 2026-09-12T01:04:34.953411Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=89cfc5b0-2804-41c3-a868-4d62b449d2a0 path=/watch/latency-ext-067.txt
agent-1  | 2026-09-12T01:04:34.958102Z [info     ] publisher.event_published      event_id=89cfc5b0-2804-41c3-a868-4d62b449d2a0
agent-1  | 2026-09-12T01:04:34.959655Z [info     ] detector.change_detected       event_id=89cfc5b0-2804-41c3-a868-4d62b449d2a0 event_type=file_modified path=/watch/latency-ext-067.txt
agent-1  | 2026-09-12T01:04:34.964536Z [info     ] publisher.event_acked          event_id=89cfc5b0-2804-41c3-a868-4d62b449d2a0
agent-1  | 2026-09-12T01:04:34.981891Z [warning  ] detector.out_of_scope_drop     path=/runc-process2978505729 total_drops=59
agent-1  | 2026-09-12T01:04:35.045296Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=d88aa980-5b0a-404b-9691-48122a3f3dc7 path=/watch/latency-ext-068.txt
agent-1  | 2026-09-12T01:04:35.052553Z [info     ] publisher.event_published      event_id=d88aa980-5b0a-404b-9691-48122a3f3dc7
agent-1  | 2026-09-12T01:04:35.054194Z [info     ] detector.change_detected       event_id=d88aa980-5b0a-404b-9691-48122a3f3dc7 event_type=file_modified path=/watch/latency-ext-068.txt
agent-1  | 2026-09-12T01:04:35.061726Z [info     ] publisher.event_acked          event_id=d88aa980-5b0a-404b-9691-48122a3f3dc7
agent-1  | 2026-09-12T01:04:35.148812Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=04b95b00-c759-41ed-9063-0b7fd67fd0fb path=/watch/latency-ext-069.txt
