[2026-09-17T22:41:16.789224727Z] === Batería 5 — etiqueta=nominal rate_limit=100/60s ===
[2026-09-17T22:41:16.801053312Z] candidato=7a906c202e417aec5f03d9a7545e216a724aca81 arbol=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T22:41:17.126909036Z] eventos_iniciales=0 cola_inicial=-1
[2026-09-17T22:41:17.132958287Z] --- fase 1: detener el backend (corte de 5 minutos) ---
[2026-09-17T22:41:18.221916342Z] backend detenido
[2026-09-17T22:41:18.228917042Z] --- fase 2: generar 3000 cambios a 10/s durante 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T22:41:18.947892+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00132/3000] modify simple     /srv/fim-watch/critico/gen_00023.txt ts=2026-09-17T22:41:32.053117+00:00
 [00133/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:32.152900+00:00
 [00134/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:32.252663+00:00
 [00135/3000] modify simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T22:41:32.352789+00:00
 [00136/3000] create simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T22:41:32.453293+00:00
 [00137/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:32.552806+00:00
 [00138/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:32.653093+00:00
 [00139/3000] create simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T22:41:32.752570+00:00
 [00140/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:32.852783+00:00
 [00141/3000] create simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:41:32.952675+00:00
 [00142/3000] delete simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:41:33.052912+00:00
 [00143/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:33.152801+00:00
 [00144/3000] modify simple     /srv/fim-watch/critico/gen_00023.txt ts=2026-09-17T22:41:33.252814+00:00
 [00145/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:33.352681+00:00
 [00146/3000] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:41:33.452779+00:00
 [00147/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:33.553174+00:00
 [00148/3000] delete simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:33.652849+00:00
 [00149/3000] create simple     /srv/fim-watch/gen_00027.txt ts=2026-09-17T22:41:33.752671+00:00
 [00150/3000] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:41:33.852782+00:00
 [00151/3000] modify simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T22:41:33.952767+00:00
 [00152/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:34.052521+00:00
 [00153/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:41:34.153123+00:00
 [00154/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:41:34.253284+00:00
 [00155/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:41:34.352802+00:00
 [00156/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:41:34.453047+00:00
 [00157/3000] modify colapsado  /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:41:34.553272+00:00
 [00158/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:34.653104+00:00
 [00159/3000] delete simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:41:34.752662+00:00
 [00160/3000] modify simple     /srv/fim-watch/gen_00027.txt ts=2026-09-17T22:41:34.852768+00:00
 [00161/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:34.953227+00:00
