========================================================================
generador_carga.py — arranque 2026-09-18T02:11:45.884765+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00119/500] delete simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T02:18:50.652906+00:00
 [00120/500] create simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T02:18:54.252646+00:00
 [00121/500] modify simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-18T02:18:57.852429+00:00
 [00122/500] delete simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-18T02:19:01.452200+00:00
 [00123/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T02:19:05.052424+00:00
 [00124/500] modify revertido  /srv/fim-watch/gen_00017.txt ts=2026-09-18T02:19:08.651419+00:00
 [00125/500] modify revertido  /srv/fim-watch/gen_00017.txt ts=2026-09-18T02:19:12.251132+00:00
 [00126/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T02:19:15.850807+00:00
 [00127/500] delete simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T02:19:19.450809+00:00
 [00128/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T02:19:23.050363+00:00
 [00129/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:19:26.650001+00:00
 [00130/500] create simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T02:19:30.249537+00:00
 [00131/500] delete simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T02:19:33.849532+00:00
 [00132/500] modify simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:19:37.449117+00:00
 [00133/500] delete simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-18T02:19:41.048820+00:00
 [00134/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T02:19:44.648770+00:00
 [00135/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:19:48.248298+00:00
 [00136/500] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T02:19:51.848459+00:00
 [00137/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T02:19:55.447665+00:00
 [00138/500] modify revertido  /srv/fim-watch/gen_00019.txt ts=2026-09-18T02:19:59.047797+00:00
 [00139/500] modify revertido  /srv/fim-watch/gen_00019.txt ts=2026-09-18T02:20:02.647418+00:00
 [00140/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:20:06.246987+00:00
 [00141/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:20:09.846967+00:00
 [00142/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:20:13.446617+00:00
 [00143/500] create simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T02:20:17.046290+00:00
 [00144/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T02:20:20.646047+00:00
 [00145/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T02:20:24.245725+00:00
 [00146/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T02:20:27.845538+00:00
 [00147/500] delete simple     /srv/fim-watch/gen_00019.txt ts=2026-09-18T02:20:31.444792+00:00
 [00148/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:20:35.044724+00:00
 [00149/500] create simple     /srv/fim-watch/gen_00028.txt ts=2026-09-18T02:20:38.644322+00:00
 [00150/500] create simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T02:20:42.244395+00:00
 [00151/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:20:45.843819+00:00
 [00152/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T02:20:49.443378+00:00
 [00153/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T02:20:53.043124+00:00
 [00154/500] create simple     /srv/fim-watch/gen_00030.txt ts=2026-09-18T02:20:56.642654+00:00
 [00155/500] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T02:21:00.242723+00:00
 [00156/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T02:21:03.842145+00:00
 [00157/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:21:07.442014+00:00
 [00158/500] create simple     /srv/fim-watch/gen_00031.txt ts=2026-09-18T02:21:11.041505+00:00
 [00159/500] create simple     /srv/fim-watch/gen_00032.txt ts=2026-09-18T02:21:14.641597+00:00
